fractal;ativo;arquivo;linhas;data_inicio;data_fim;status
08_60_MIN;WINFUT;WIN_60min_2024_2026.csv;5002;30/12/2025;02/01/2024;OK
08_60_MIN;WINFUT;WIN_60min_2026_2026.csv;1046;05/06/2026;02/01/2026;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2005_2006.csv;402;28/12/2006;17/05/2005;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2007_2008.csv;245;28/12/2007;02/01/2007;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2008_2009.csv;249;30/12/2008;02/01/2008;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2009_2010.csv;493;30/12/2010;02/01/2009;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2010_2011.csv;247;30/12/2010;04/01/2010;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2013_2014.csv;496;30/12/2014;02/01/2013;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2015_2017.csv;495;29/12/2016;02/01/2015;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2019_2020.csv;248;30/12/2019;02/01/2019;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2020_2022.csv;496;30/12/2021;02/01/2020;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2022_2024.csv;498;28/12/2023;03/01/2022;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2024_2026.csv;501;30/12/2025;02/01/2024;OK
09_DIARIO;WDOFUT;WDO_DIARIO_2026_2026.csv;105;05/06/2026;02/01/2026;OK
09_DIARIO;WDOFUT;WDO_Diário_2011_2013.csv;495;28/12/2012;03/01/2011;OK
09_DIARIO;WDOFUT;WIN_DIARIO_2017_2019.csv;491;28/12/2018;02/01/2017;OK
09_DIARIO;WINFUT;WIN_DIARIO_2005_2006.csv;404;28/12/2006;17/05/2005;OK
09_DIARIO;WINFUT;WIN_DIARIO_2007_2008.csv;245;28/12/2007;02/01/2007;OK
09_DIARIO;WINFUT;WIN_DIARIO_2008_2009.csv;249;30/12/2008;02/01/2008;OK
09_DIARIO;WINFUT;WIN_DIARIO_2009_2010.csv;493;30/12/2010;02/01/2009;OK
09_DIARIO;WINFUT;WIN_DIARIO_2010_2011.csv;247;30/12/2010;04/01/2010;OK
09_DIARIO;WINFUT;WIN_DIARIO_2011_2013.csv;495;28/12/2012;03/01/2011;OK
09_DIARIO;WINFUT;WIN_DIARIO_2013_2015.csv;496;30/12/2014;02/01/2013;OK
09_DIARIO;WINFUT;WIN_DIARIO_2015_2017.csv;495;29/12/2016;02/01/2015;OK
09_DIARIO;WINFUT;WIN_DIARIO_2019_2020.csv;248;30/12/2019;02/01/2019;OK
09_DIARIO;WINFUT;WIN_DIARIO_2020_2022.csv;496;30/12/2021;02/01/2020;OK
09_DIARIO;WINFUT;WIN_DIARIO_2022_2024.csv;498;28/12/2023;03/01/2022;OK
09_DIARIO;WINFUT;WIN_DIARIO_2024_2026.csv;501;30/12/2025;02/01/2024;OK
09_DIARIO;WINM26;WIN_DIARIO_2026_2026.csv;105;05/06/2026;02/01/2026;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2009_2011.csv;104;27/12/2010;05/01/2009;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2011_2013.csv;104;26/12/2012;03/01/2011;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2013_2015.csv;105;29/12/2014;02/01/2013;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2015_2017.csv;104;26/12/2016;05/01/2015;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2017_2019.csv;104;26/12/2018;02/01/2017;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2019_2020.csv;53;30/12/2019;02/01/2019;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2020_2022.csv;104;27/12/2021;06/01/2020;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2024_2026.csv;105;29/12/2025;02/01/2024;OK
10_SEMANAL;WDOFUT;WDO_SEMANAL_2026_2026.csv;22;01/06/2026;05/01/2026;OK
10_SEMANAL;WINFUT;WIN_Semanal_2005_2007.csv;85;26/12/2006;17/05/2005;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2007_2009.csv;105;29/12/2008;02/01/2007;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2009_2011.csv;104;27/12/2010;05/01/2009;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2011_2013.csv;104;26/12/2012;03/01/2011;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2013_2015.csv;105;29/12/2014;02/01/2013;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2015_2017.csv;104;26/12/2016;05/01/2015;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2017_2019.csv;104;26/12/2018;02/01/2017;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2018_2020.csv;53;30/12/2019;02/01/2019;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2020_2022.csv;104;27/12/2021;06/01/2020;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2022_2024.csv;104;26/12/2023;03/01/2022;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2024_2026.csv;105;29/12/2025;02/01/2024;OK
10_SEMANAL;WINFUT;WIN_SEMANAL_2026_2026.csv;22;01/06/2026;05/01/2026;OK
11_MENSAL;WDOFUT;WDOFUT_F_0_Semanal.csv;85;26/12/2006;17/05/2005;OK
11_MENSAL;WINFUT;WINFUT_F_0_Semanal.csv;85;26/12/2006;17/05/2005;OK
