data_hora;fractal;arquivo;ativo_detectado;pasta_atual;pasta_correta;acao;resultado;caminho_atual;destino_sugerido
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2018_2020.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2018_2020.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2020_2022.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2020_2022.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2022_2024.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2022_2024.csv
07/06/2026 18:30:02;07_30_MIN;WIN_30min_2026_2026.csv;WIN;win;win;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2026_2026.csv
07/06/2026 18:30:02;08_60_MIN;WDO_60MIN_2012_2014.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60MIN_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60MIN_2012_2014.csv
07/06/2026 18:30:02;08_60_MIN;WDO_60min_2014_2016.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2014_2016.csv
07/06/2026 18:30:02;08_60_MIN;WDO_60min_2016_2018.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2016_2018.csv
07/06/2026 18:30:02;08_60_MIN;WDO_60min_2018_2020.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2018_2020.csv
07/06/2026 18:30:02;08_60_MIN;WDO_60min_2020_2022.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2020_2022.csv
07/06/2026 18:30:03;08_60_MIN;WDO_60min_2022_2024.csv;WDO;wdo;wdo;OK;PASTA_CORRETA;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2022_2024.csv
