arquivo;pasta;tipo_fractal;fractal_minutos;status;maior_criticidade;motivos;responsavel;acao_recomendada;linhas;colunas;data_inicio;data_fim;ordem_temporal;timestamps_invalidos;duplicados;lacunas;ohlc_status;ohlc_problemas;volume_status;volume_negativo
WIN_5min_2023_2024.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;9611;9;22/08/2023 11:10:00;28/12/2023 18:15:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_5min_2024_2025.csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;28313;9;02/01/2024 09:00:00;30/12/2024 18:15:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_5min_2025_2026.csv;005_5_MIN;INTRADAY;5;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;28175;9;02/01/2025 09:00:00;30/12/2025 18:15:00;DECRESCENTE;0;0;2;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_5min_2026_2026 (2).csv;005_5_MIN;INTRADAY;5;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;11816;9;02/01/2026 09:00:00;05/06/2026 18:15:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
WIN_5min_2026_2026.csv;005_5_MIN;INTRADAY;5;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;10315;21;21/01/2026 11:46:00;05/06/2026 18:20:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_6min_2026_2026.csv;006_6_MIN;INTRADAY;6;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;8639;21;21/01/2026 11:46:00;05/06/2026 18:24:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_7min_2026_2026.csv;007_7_MIN;INTRADAY;7;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;7394;21;21/01/2026 11:46:00;05/06/2026 18:20:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_8min_2026_2026.csv;008_8_MIN;INTRADAY;8;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;6481;21;21/01/2026 11:46:00;05/06/2026 18:20:00;CRESCENTE;0;0;2;OK;0;OK;0
WIN_9min_2026_2026.csv;009_9_MIN;INTRADAY;9;REPROVADO;ALTA;LACUNA_CANDLE_AUSENTE;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;5752;21;21/01/2026 11:46:00;05/06/2026 18:18:00;CRESCENTE;0;0;2;OK;0;OK;0
WDO_10min2022_2023.csv;010_10_MIN;INTRADAY;10;CERTIFICADO;NENHUMA;NENHUM;NENHUM;NENHUMA;1912;9;11/11/2022 13:10:00;29/12/2022 18:10:00;DECRESCENTE;0;0;0;NAO_VERIFICADO;0;NAO_VERIFICADO;0
