id_ocorrencia;arquivo;caminho;status_certificacao;status_ordem;criticidade;motivo;descricao;responsavel;acao_recomendada;dependencia;certificacao;data_emissao;fiscal_temporal
FT-20260626-017871;WIN_10min_2024_2025.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2024_2025.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;250 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2024 18:20:00. Ultima: 30/12/2024 09:00:00. Horas totais aproximadas: 6382.67. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:34;v4.2.2
FT-20260626-017872;WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 0.83 horas entre 03/06/2025 09:00:00 e 03/06/2025 09:50:00. Possivel candle ausente dentro da sequencia temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;26/06/2026 11:33:35;v4.2.2
FT-20260626-017873;WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;REPROVADO;PENDENTE;ALTA;LACUNA_CANDLE_AUSENTE;Lacuna de 1.17 horas entre 21/08/2025 09:10:00 e 21/08/2025 10:20:00. Possivel candle ausente dentro da sequencia temporal.;ZE_DO_EUCRAZIO;REGENERAR_FRACTAL_A_PARTIR_DO_1_MIN;BERNARDO_LOCALIZAR_ORIGEM -> ZE_REGENERAR_FRACTAL -> FISCAL_RECERTIFICAR;NEGADA;26/06/2026 11:33:36;v4.2.2
FT-20260626-017874;WIN_10min_2025_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2025_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;249 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2025 18:20:00. Ultima: 30/12/2025 09:00:00. Horas totais aproximadas: 6368.17. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:37;v4.2.2
FT-20260626-017875;WIN_10min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.18 horas entre 22/01/2026 12:40:00 e 22/01/2026 12:51:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 22/01/2026 12:41:00 (12:40:21-12:42:21) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:37;v4.2.2
FT-20260626-017876;WIN_10min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.22 horas entre 26/01/2026 11:30:00 e 26/01/2026 11:43:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 26/01/2026 11:31:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:32:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:34:00 (11:33:16-11:35:16) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:37;v4.2.2
FT-20260626-017877;WIN_10min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026 (2).csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;91 lacunas longas consolidadas neste arquivo. Primeira: 21/01/2026 18:16:00. Ultima: 05/06/2026 09:00:00. Horas totais aproximadas: 2394.67. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:38;v4.2.2
FT-20260626-017878;WIN_10min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\010_10_MIN\win\WIN_10min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_LONGA_ENTRE_SESSOES;104 lacunas longas consolidadas neste arquivo. Primeira: 02/01/2026 18:20:00. Ultima: 05/06/2026 09:00:00. Horas totais aproximadas: 2729.33. Maior lacuna: 114.67 horas. Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos. | Registrada como contexto temporal longo entre sessoes/arquivos.;CALENDARIO_B3;NENHUMA_ACAO_OPERACIONAL;NENHUMA;JUSTIFICADA_COM_RESSALVA;26/06/2026 11:33:39;v4.2.2
FT-20260626-017879;WIN_12min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.22 horas entre 22/01/2026 12:36:00 e 22/01/2026 12:49:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 22/01/2026 12:41:00 (12:40:21-12:42:21) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:39;v4.2.2
FT-20260626-017880;WIN_12min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\012_12_MIN\win\WIN_12min_2026_2026.csv;INFORMATIVO;PENDENTE;INFORMATIVA;LACUNA_HERDADA_JUSTIFICADA_POR_LEILAO;Lacuna de 0.25 horas entre 26/01/2026 11:24:00 e 26/01/2026 11:39:00. Ausencia temporal justificada por leilao cadastrado. Eventos: 26/01/2026 11:31:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:32:00 (11:30:41-11:33:10) fonte=NELOGICA | 26/01/2026 11:34:00 (11:33:16-11:35:16) fonte=NELOGICA;EVENTO_MERCADO;NENHUMA_ACAO_CORRETIVA;NENHUMA;JUSTIFICADO_POR_EVENTO_DE_MERCADO;26/06/2026 11:33:39;v4.2.2
