fractal_pasta;fractal_detectado;ativo;arquivo;caminho;linhas;data_inicio;data_fim;colunas;status;observacao
07_30_MIN;30_MIN;WIN;WIN_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2018_2020.csv;9022;02/01/2018;30/12/2019;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2020_2022.csv;9081;02/01/2020;30/12/2021;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2022_2024.csv;9119;03/01/2022;28/12/2023;9;OK;
07_30_MIN;30_MIN;WIN;WIN_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\07_30_MIN\win\WIN_30min_2026_2026.csv;1987;02/01/2026;05/06/2026;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60MIN_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60MIN_2012_2014.csv;4425;02/01/2014;30/12/2015;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2014_2016.csv;4425;02/01/2014;30/12/2015;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2016_2018.csv;3888;04/01/2016;28/12/2017;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2018_2020.csv;4593;02/01/2018;30/12/2019;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2020_2022.csv;4625;02/01/2020;30/12/2021;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2022_2024.csv;4645;03/01/2022;28/12/2023;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2024_2026.csv;5001;02/01/2024;30/12/2025;9;OK;
08_60_MIN;60_MIN;WDO;WDO_60min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2026_2026.csv;1046;02/01/2026;05/06/2026;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2012_2014.csv;3784;18/04/2012;30/12/2013;9;OK;
08_60_MIN;60_MIN;WIN;WIN_60min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2014_2016.csv;4435;02/01/2014;30/12/2015;9;OK;
