arquivo;ativo;fractal;linhas;colunas;status;observacao;confiabilidade;tags
WDO_30min_2024_2026.csv;WDO;30_MIN;9502;9;OK;;100;WDO,30_MIN,PROFIT
WDO_30min_2026_2026.csv;WDO;30_MIN;1987;9;OK;;100;WDO,30_MIN,PROFIT
WIN_30min_2012_2014.csv;WIN;30_MIN;6768;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2014_2016.csv;WIN;30_MIN;8860;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2016_2018.csv;WIN;30_MIN;8646;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2018_2020.csv;WIN;30_MIN;9022;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2020_2022.csv;WIN;30_MIN;9081;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2022_2024.csv;WIN;30_MIN;9119;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2026_2026 (2).csv;WIN;30_MIN;1987;9;OK;;100;WIN,30_MIN,PROFIT
WIN_30min_2026_2026.csv;WIN;30_MIN;1736;21;OK;;100;WIN,30_MIN,PROFIT
WIN_45min_2026_2026.csv;WIN;45_MIN;1188;21;OK;;98;WIN,45_MIN,ZE_DO_EUCRAZIO
WDO_60MIN_2012_2014.csv;WDO;60_MIN;4425;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2014_2016.csv;WDO;60_MIN;4425;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2016_2018.csv;WDO;60_MIN;3888;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2018_2020.csv;WDO;60_MIN;4593;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2020_2022.csv;WDO;60_MIN;4625;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2022_2024.csv;WDO;60_MIN;4645;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2024_2026.csv;WDO;60_MIN;5001;9;OK;;100;WDO,60_MIN,PROFIT
WDO_60min_2026_2026.csv;WDO;60_MIN;1046;9;OK;;100;WDO,60_MIN,PROFIT
WIN_60min_2012_2014.csv;WIN;60_MIN;3784;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2014_2016.csv;WIN;60_MIN;4435;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2016_2018.csv;WIN;60_MIN;4415;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2018_2020.csv;WIN;60_MIN;4593;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2020_2022.csv;WIN;60_MIN;4625;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2022_2024.csv;WIN;60_MIN;4645;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2024_2026.csv;WIN;60_MIN;5002;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2026_2026 (2).csv;WIN;60_MIN;1046;9;OK;;100;WIN,60_MIN,PROFIT
WIN_60min_2026_2026.csv;WIN;60_MIN;914;21;OK;;100;WIN,60_MIN,PROFIT
WIN_90min_2026_2026.csv;WIN;90_MIN;640;21;OK;;98;WIN,90_MIN,ZE_DO_EUCRAZIO
WDO_DIARIO_2005_2006.csv;WDO;DIARIO;402;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2007_2008.csv;WDO;DIARIO;245;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2008_2009.csv;WDO;DIARIO;249;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2009_2010.csv;WDO;DIARIO;493;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2010_2011.csv;WDO;DIARIO;247;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2013_2014.csv;WDO;DIARIO;496;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2015_2017.csv;WDO;DIARIO;495;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2019_2020.csv;WDO;DIARIO;248;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2020_2022.csv;WDO;DIARIO;496;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2022_2024.csv;WDO;DIARIO;498;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2024_2026.csv;WDO;DIARIO;501;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_DIARIO_2026_2026.csv;WDO;DIARIO;105;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WDO_Diário_2011_2013.csv;WDO;DIARIO;495;8;OK;;98;WDO,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2017_2019.csv;WIN;DIARIO;491;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2005_2006.csv;WIN;DIARIO;404;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2007_2008.csv;WIN;DIARIO;245;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2008_2009.csv;WIN;DIARIO;249;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2009_2010.csv;WIN;DIARIO;493;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2010_2011.csv;WIN;DIARIO;247;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2011_2013.csv;WIN;DIARIO;495;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2013_2015.csv;WIN;DIARIO;496;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2015_2017.csv;WIN;DIARIO;495;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2019_2020.csv;WIN;DIARIO;248;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2020_2022.csv;WIN;DIARIO;496;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2022_2024.csv;WIN;DIARIO;498;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2024_2026.csv;WIN;DIARIO;501;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_DIARIO_2026_2026.csv;WIN;DIARIO;105;8;OK;;98;WIN,DIARIO,ZE_DO_EUCRAZIO,MACRO_FRACTAL
WIN_120min_2026_2026.csv;WIN;120_MIN;458;21;OK;;98;WIN,120_MIN,ZE_DO_EUCRAZIO
WIN_180min_2026_2026.csv;WIN;180_MIN;366;21;OK;;98;WIN,180_MIN,ZE_DO_EUCRAZIO
WIN_240min_2026_2026.csv;WIN;240_MIN;275;21;OK;;98;WIN,240_MIN,ZE_DO_EUCRAZIO
WDOFUT_F_0_Semanal.csv;WDO;SEMANAL;85;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WINFUT_F_0_Semanal.csv;WIN;SEMANAL;85;8;OK;;100;WIN,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2009_2011.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2011_2013.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2013_2015.csv;WDO;SEMANAL;105;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2015_2017.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2017_2019.csv;WDO;SEMANAL;104;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
WDO_SEMANAL_2019_2020.csv;WDO;SEMANAL;53;8;OK;;100;WDO,SEMANAL,PROFIT,MACRO_FRACTAL
