codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00054;WIN_60min_2012_2014.csv;WIN;60_MIN;18/04/2012;30/12/2013;3784;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00055;WIN_60min_2014_2016.csv;WIN;60_MIN;02/01/2014;30/12/2015;4435;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00056;WIN_60min_2016_2018.csv;WIN;60_MIN;04/01/2016;28/12/2017;4415;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00057;WIN_60min_2018_2020.csv;WIN;60_MIN;02/01/2018;30/12/2019;4593;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00058;WIN_60min_2020_2022.csv;WIN;60_MIN;02/01/2020;30/12/2021;4625;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00059;WIN_60min_2022_2024.csv;WIN;60_MIN;03/01/2022;28/12/2023;4645;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00060;WIN_60min_2024_2026.csv;WIN;60_MIN;02/01/2024;30/12/2025;5002;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00061;WIN_60min_2026_2026.csv;WIN;60_MIN;02/01/2026;05/06/2026;1046;EXCELENTE;2;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00062;WDO_DIARIO_2005_2006.csv;WDO;DIARIO;17/05/2005;28/12/2006;402;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00063;WDO_DIARIO_2007_2008.csv;WDO;DIARIO;02/01/2007;28/12/2007;245;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00064;WDO_DIARIO_2008_2009.csv;WDO;DIARIO;02/01/2008;30/12/2008;249;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00065;WDO_DIARIO_2009_2010.csv;WDO;DIARIO;02/01/2009;30/12/2010;493;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00066;WDO_DIARIO_2010_2011.csv;WDO;DIARIO;04/01/2010;30/12/2010;247;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00067;WDO_DIARIO_2013_2014.csv;WDO;DIARIO;02/01/2013;30/12/2014;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00068;WDO_DIARIO_2015_2017.csv;WDO;DIARIO;02/01/2015;29/12/2016;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00069;WDO_DIARIO_2019_2020.csv;WDO;DIARIO;02/01/2019;30/12/2019;248;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00070;WDO_DIARIO_2020_2022.csv;WDO;DIARIO;02/01/2020;30/12/2021;496;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00071;WDO_DIARIO_2022_2024.csv;WDO;DIARIO;03/01/2022;28/12/2023;498;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00072;WDO_DIARIO_2024_2026.csv;WDO;DIARIO;02/01/2024;30/12/2025;501;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00073;WDO_DIARIO_2026_2026.csv;WDO;DIARIO;02/01/2026;05/06/2026;105;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00074;WDO_Diário_2011_2013.csv;WDO;DIARIO;03/01/2011;28/12/2012;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00075;WIN_DIARIO_2017_2019.csv;WIN;DIARIO;02/01/2017;28/12/2018;491;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00076;WIN_DIARIO_2005_2006.csv;WIN;DIARIO;17/05/2005;28/12/2006;404;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00077;WIN_DIARIO_2007_2008.csv;WIN;DIARIO;02/01/2007;28/12/2007;245;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00078;WIN_DIARIO_2008_2009.csv;WIN;DIARIO;02/01/2008;30/12/2008;249;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00079;WIN_DIARIO_2009_2010.csv;WIN;DIARIO;02/01/2009;30/12/2010;493;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00080;WIN_DIARIO_2010_2011.csv;WIN;DIARIO;04/01/2010;30/12/2010;247;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00081;WIN_DIARIO_2011_2013.csv;WIN;DIARIO;03/01/2011;28/12/2012;495;EXCELENTE;1;NAO;Fonte catalogada para futura mineracao de reversoes
