arquivo;ativo;fractal;origem;linhas;tamanho_mb;qualidade;confiabilidade;score_importancia;classe_importancia;status
WDO_10min_2026_2026.csv;WDO;10_MIN;PROFIT;5961;0.448;100.0;100.0;68.03;MEDIA;OK
WIN_60min_2024_2026.csv;WIN;60_MIN;PROFIT;5002;0.427;100.0;100.0;67.66;MEDIA;OK
WDO_60min_2024_2026.csv;WDO;60_MIN;PROFIT;5001;0.384;100.0;100.0;67.56;MEDIA;OK
WIN_60min_2022_2024.csv;WIN;60_MIN;PROFIT;4645;0.397;100.0;100.0;67.47;MEDIA;OK
WIN_60min_2020_2022.csv;WIN;60_MIN;PROFIT;4625;0.395;100.0;100.0;67.46;MEDIA;OK
WIN_60min_2018_2020.csv;WIN;60_MIN;PROFIT;4593;0.388;100.0;100.0;67.43;MEDIA;OK
WDO_60min_2022_2024.csv;WDO;60_MIN;PROFIT;4645;0.357;100.0;100.0;67.38;MEDIA;OK
WDO_60min_2020_2022.csv;WDO;60_MIN;PROFIT;4625;0.356;100.0;100.0;67.37;MEDIA;OK
WDO_60min_2018_2020.csv;WDO;60_MIN;PROFIT;4593;0.349;100.0;100.0;67.34;MEDIA;OK
WIN_60min_2014_2016.csv;WIN;60_MIN;PROFIT;4435;0.365;100.0;100.0;67.33;MEDIA;OK
WIN_60min_2016_2018.csv;WIN;60_MIN;PROFIT;4415;0.365;100.0;100.0;67.32;MEDIA;OK
WDO_60min_2014_2016.csv;WDO;60_MIN;PROFIT;4425;0.326;100.0;100.0;67.23;MEDIA;OK
WDO_60MIN_2012_2014.csv;WDO;60_MIN;PROFIT;4425;0.326;100.0;100.0;67.23;MEDIA;OK
WIN_15min_2026_2026.csv;WIN;15_MIN;PROFIT;3974;0.336;100.0;100.0;67.11;MEDIA;OK
WDO_15min_2026_2026.csv;WDO;15_MIN;PROFIT;3974;0.3;100.0;100.0;67.02;MEDIA;OK
WDO_60min_2016_2018.csv;WDO;60_MIN;PROFIT;3888;0.293;100.0;100.0;66.98;MEDIA;OK
WIN_60min_2012_2014.csv;WIN;60_MIN;PROFIT;3784;0.31;100.0;100.0;66.98;MEDIA;OK
WDO_30min_2014_2016.csv;WDO;30_MIN;PROFIT;3666;0.271;100.0;100.0;66.85;MEDIA;OK
WIN_30min_2026_2026.csv;WIN;30_MIN;PROFIT;1987;0.169;100.0;100.0;66.05;MEDIA;OK
WIN_10min_2022_2023.csv;WIN;10_MIN;PROFIT;1919;0.162;100.0;100.0;66.02;MEDIA;OK
WDO_30min_2026_2026.csv;WDO;30_MIN;PROFIT;1987;0.151;100.0;100.0;66.01;MEDIA;OK
WDO_10min2022_2023.csv;WDO;10_MIN;PROFIT;1913;0.144;100.0;100.0;65.97;MEDIA;OK
WIN_60min_2026_2026.csv;WIN;60_MIN;PROFIT;1046;0.089;100.0;100.0;65.55;MEDIA;OK
WDO_60min_2026_2026.csv;WDO;60_MIN;PROFIT;1046;0.08;100.0;100.0;65.53;MEDIA;OK
