codigo_fonte;arquivo;ativo;fractal;data_inicio;data_fim;linhas;qualidade;prioridade_mineracao;elegivel_para_historiador;observacao
REV_SRC_00083;WDO_10min2022_2023.csv;WDO;10_MIN;11/11/2022;29/12/2022;1913;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00084;WDO_10min_2023_2024.csv;WDO;10_MIN;02/01/2023;28/12/2023;13622;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00085;WDO_10min_2024_2025.csv;WDO;10_MIN;02/01/2024;30/12/2024;14278;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00086;WDO_10min_2025_2026.csv;WDO;10_MIN;02/01/2025;30/12/2025;14226;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00087;WDO_10min_2026_2026.csv;WDO;10_MIN;02/01/2026;05/06/2026;5961;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00088;WIN_10min_2022_2023.csv;WIN;10_MIN;11/11/2022;29/12/2022;1919;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00089;WIN_10min_2023_2024.csv;WIN;10_MIN;02/01/2023;28/12/2023;13622;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00090;WIN_10min_2024_2025.csv;WIN;10_MIN;02/01/2024;30/12/2024;14283;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00091;WIN_10min_2025_2026.csv;WIN;10_MIN;02/01/2025;30/12/2025;14215;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00092;WIN_10min_2026_2026 (2).csv;WIN;10_MIN;21/01/2026;05/06/2026;5204;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00093;WIN_10min_2026_2026.csv;WIN;10_MIN;02/01/2026;05/06/2026;5961;EXCELENTE;4;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00094;WIN_12min_2026_2026.csv;WIN;12_MIN;21/01/2026;05/06/2026;4350;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00095;WIN_15min_2026_2026.csv;WIN;15_MIN;21/01/2026;05/06/2026;3470;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00096;WIN_15min_2026_2026.csv;WIN;15_MIN;21/01/2026;05/06/2026;3470;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00097;WIN_20min_2026_2026.csv;WIN;20_MIN;21/01/2026;05/06/2026;2648;EXCELENTE;0;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00098;WDO_30min_2014_2016.csv;WDO;30_MIN;05/03/2015;30/12/2015;3666;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00099;WDO_30min_2016_2018.csv;WDO;30_MIN;04/01/2016;28/12/2017;7624;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00100;WDO_30min_2018_2020.csv;WDO;30_MIN;02/01/2018;30/12/2019;9022;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00101;WDO_30min_2020_2022.csv;WDO;30_MIN;02/01/2020;30/12/2021;9080;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00102;WDO_30min_2022_2024.csv;WDO;30_MIN;03/01/2022;28/12/2023;9119;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00103;WDO_30min_2024_2026.csv;WDO;30_MIN;02/01/2024;30/12/2025;9502;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00104;WDO_30min_2026_2026.csv;WDO;30_MIN;02/01/2026;05/06/2026;1987;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00105;WIN_30min_2012_2014.csv;WIN;30_MIN;14/06/2012;30/12/2013;6768;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00106;WIN_30min_2014_2016.csv;WIN;30_MIN;02/01/2014;30/12/2015;8860;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00107;WIN_30min_2016_2018.csv;WIN;30_MIN;04/01/2016;28/12/2017;8646;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00108;WIN_30min_2018_2020.csv;WIN;30_MIN;02/01/2018;30/12/2019;9022;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
REV_SRC_00109;WIN_30min_2020_2022.csv;WIN;30_MIN;02/01/2020;30/12/2021;9081;EXCELENTE;3;SIM;Fonte catalogada para futura mineracao de reversoes
