fractal;ativo;pasta;arquivo;linhas;data_inicio;data_fim;status;observacao;caminho
08_60_MIN;WDO;wdo;WDO_60MIN_2012_2014.csv;4425;02/01/2014;30/12/2015;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60MIN_2012_2014.csv
08_60_MIN;WDO;wdo;WDO_60min_2014_2016.csv;4425;02/01/2014;30/12/2015;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2014_2016.csv
08_60_MIN;WDO;wdo;WDO_60min_2016_2018.csv;3888;04/01/2016;28/12/2017;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2016_2018.csv
08_60_MIN;WDO;wdo;WDO_60min_2018_2020.csv;4593;02/01/2018;30/12/2019;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2018_2020.csv
08_60_MIN;WDO;wdo;WDO_60min_2020_2022.csv;4625;02/01/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2020_2022.csv
08_60_MIN;WDO;wdo;WDO_60min_2022_2024.csv;4645;03/01/2022;28/12/2023;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2022_2024.csv
08_60_MIN;WDO;wdo;WDO_60min_2024_2026.csv;5001;02/01/2024;30/12/2025;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2024_2026.csv
08_60_MIN;WDO;wdo;WDO_60min_2026_2026.csv;1046;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\wdo\WDO_60min_2026_2026.csv
08_60_MIN;WIN;win;WIN_60min2026_2026.csv;1046;02/01/2026;05/06/2026;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min2026_2026.csv
08_60_MIN;WIN;win;WIN_60min_2012_2014.csv;3784;18/04/2012;30/12/2013;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2012_2014.csv
08_60_MIN;WIN;win;WIN_60min_2014_2016.csv;4435;02/01/2014;30/12/2015;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2014_2016.csv
08_60_MIN;WIN;win;WIN_60min_2016_2018.csv;4415;04/01/2016;28/12/2017;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2016_2018.csv
08_60_MIN;WIN;win;WIN_60min_2018_2020.csv;4593;02/01/2018;30/12/2019;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2018_2020.csv
08_60_MIN;WIN;win;WIN_60min_2020_2022.csv;4625;02/01/2020;30/12/2021;OK;;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\08_60_MIN\win\WIN_60min_2020_2022.csv
