data_hora;arquivo;fractal;pasta_atual;ativo_detectado;caminho_atual;destino_sugerido;acao;motivo
16/06/2026 22:55:19;WDO_30min_2022_2024.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2022_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WDO_30min_2024_2026.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2024_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2024_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WDO_30min_2026_2026.csv;030_30_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2026_2026.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2012_2014.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2012_2014.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2014_2016.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2014_2016.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2016_2018.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2016_2018.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2018_2020.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2018_2020.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2018_2020.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2020_2022.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2020_2022.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2020_2022.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2022_2024.csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2022_2024.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2022_2024.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2026_2026 (2).csv;030_30_MIN;win;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026 (2).csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026 (2).csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WIN_30min_2026_2026.csv;030_30_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:19;WIN_45min_2026_2026.csv;045_45_MIN;win;DESCONHECIDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\045_45_MIN\win\WIN_45min_2026_2026.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\045_45_MIN\win\WIN_45min_2026_2026.csv;VERIFICAR;Ativo nao identificado pelo conteudo
16/06/2026 22:55:19;WDO_60MIN_2012_2014.csv;060_60_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60MIN_2012_2014.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60MIN_2012_2014.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WDO_60min_2014_2016.csv;060_60_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2014_2016.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2014_2016.csv;OK;Arquivo ja esta na pasta correta
16/06/2026 22:55:19;WDO_60min_2016_2018.csv;060_60_MIN;wdo;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2016_2018.csv;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2016_2018.csv;OK;Arquivo ja esta na pasta correta
