arquivo;tipo_problema;gravidade;detalhe
certificado_temporal.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
ordens_operador.csv;ATIVO_DESCONHECIDO;MEDIA;ARQUIVO_VAZIO | COLUNA_INSUFICIENTE | DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_operador.csv;FRACTAL_DESCONHECIDO;MEDIA;ARQUIVO_VAZIO | COLUNA_INSUFICIENTE | DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_operador.csv;ARQUIVO_VAZIO;ALTA;Arquivo sem registros
ordens_operador.csv;COLUNAS_INSUFICIENTES;ALTA;Arquivo possui apenas 1 colunas
ordens_operador.csv;STATUS_NAO_OK;MEDIA;ARQUIVO_VAZIO | COLUNA_INSUFICIENTE | DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_operador.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
ordens_para_bernardo.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_bernardo.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_bernardo.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_bernardo.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
ordens_para_ze.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_ze.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_ze.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
ordens_para_ze.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
registro_protocolos_fiscal.csv;ATIVO_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
registro_protocolos_fiscal.csv;FRACTAL_DESCONHECIDO;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
registro_protocolos_fiscal.csv;STATUS_NAO_OK;MEDIA;DATA_INVALIDA | ATIVO_DESCONHECIDO | FRACTAL_DESCONHECIDO
registro_protocolos_fiscal.csv;NOME_FORA_PADRAO_ATIVO;BAIXA;Nome nao contem WIN ou WDO
