data_hora;pasta_base;fractal_pasta;arquivo;ativo_nome;caminho;status;problemas
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2018_2020.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2018_2020.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2020_2022.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2022_2024.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2022_2024.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2024_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2024_2026.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WDO_30min_2026_2026.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\wdo\WDO_30min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2012_2014.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2012_2014.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2014_2016.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2014_2016.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2016_2018.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2016_2018.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2018_2020.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2018_2020.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2020_2022.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2020_2022.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2022_2024.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2022_2024.csv;OK;NENHUM
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2026_2026 (2).csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026 (2).csv;VERIFICAR;NOME_COM_ESPACO
17/06/2026 00:44:48;030_30_MIN;30_MIN;WIN_30min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\030_30_MIN\win\WIN_30min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;045_45_MIN;45_MIN;WIN_45min_2026_2026.csv;WIN;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\045_45_MIN\win\WIN_45min_2026_2026.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60MIN_2012_2014.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60MIN_2012_2014.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2014_2016.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2014_2016.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2016_2018.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2016_2018.csv;OK;NENHUM
17/06/2026 00:44:48;060_60_MIN;60_MIN;WDO_60min_2018_2020.csv;WDO;C:\Users\User\projeto_fluxo\TRIN_ROOT\TRIN_HISTORICO\060_60_MIN\wdo\WDO_60min_2018_2020.csv;OK;NENHUM
