arquivo;ativo;fractal;data_inicio;data_fim;linhas;colunas;status;confiabilidade;nota_qualidade;classificacao;tags;origem;caminho
WIN_120min_2026_2026_CANDLES_PARCIAIS.csv;WIN;120_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,120_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_120min_2026_2026_CANDLES_PARCIAIS.csv
WIN_12min_2026_2026_CANDLES_PARCIAIS.csv;WIN;12_MIN;21/01/2026;05/06/2026;92;21;OK;98;100;EXCELENTE;WIN,12_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_12min_2026_2026_CANDLES_PARCIAIS.csv
WIN_15min_2026_2026_CANDLES_PARCIAIS.csv;WIN;15_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,15_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_15min_2026_2026_CANDLES_PARCIAIS.csv
WIN_180min_2026_2026_CANDLES_PARCIAIS.csv;WIN;180_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,180_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_180min_2026_2026_CANDLES_PARCIAIS.csv
WIN_20min_2026_2026_CANDLES_PARCIAIS.csv;WIN;20_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,20_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_20min_2026_2026_CANDLES_PARCIAIS.csv
WIN_240min_2026_2026_CANDLES_PARCIAIS.csv;WIN;240_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,240_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_240min_2026_2026_CANDLES_PARCIAIS.csv
WIN_30min_2026_2026_CANDLES_PARCIAIS.csv;WIN;30_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,30_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_30min_2026_2026_CANDLES_PARCIAIS.csv
WIN_45min_2026_2026_CANDLES_PARCIAIS.csv;WIN;45_MIN;21/01/2026;05/06/2026;93;21;OK;98;100;EXCELENTE;WIN,45_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_45min_2026_2026_CANDLES_PARCIAIS.csv
WIN_4min_2026_2026_CANDLES_PARCIAIS.csv;WIN;4_MIN;21/01/2026;05/06/2026;92;21;OK;98;100;EXCELENTE;WIN,4_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_4min_2026_2026_CANDLES_PARCIAIS.csv
WIN_5min_2026_2026_CANDLES_PARCIAIS.csv;WIN;5_MIN;21/01/2026;03/06/2026;35;21;OK;98;100;EXCELENTE;WIN,5_MIN,ZE_DO_EUCRAZIO;ZE_DO_EUCRAZIO;C:\Users\User\projeto_fluxo\TRIN_HISTORICO\00_RELATORIOS\ze_do_eucrazio\WIN_5min_2026_2026_CANDLES_PARCIAIS.csv
