data_hora;evento;arquivo;detalhe
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2009_2011.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2011_2013.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2013_2015.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2015_2017.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2017_2019.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2018_2020.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2020_2022.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2022_2024.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2024_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WIN_SEMANAL_2026_2026.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WDOFUT_F_0_Semanal.csv;Primeira indexacao ou indice anterior incompativel
2026-06-11 01:54:54;ARQUIVO_INDEXADO;WINFUT_F_0_Semanal.csv;Primeira indexacao ou indice anterior incompativel
